Site;Block No;Sample ID;Site Code;Meadow coverage;Epiphyte Load;LAI;LUSI;Sediment type;Turbidity;Light intensity;Temperatur
Vroulia;1;1_1_1;PAA;50;0,666666667;1,00776;3,75;FS;20;20661,87;18,2
Vroulia;1;1_1_2;PAA;50;0,461538462;4,3008;3,75;FS;20;20661,87;18,2
Vroulia;1;1_1_3;PAA;50;0,818181818;3,967488;3,75;FS;20;20661,87;18,2
Vroulia;1;1_1_4;PAA;50;0,285714286;1,524096;3,75;FS;20;20661,87;18,2
Vroulia;1;1_1_5;PAA;50;0,6;2,44224;3,75;FS;20;20661,87;18,2
Vroulia;1;1_1_6;PAA;50;0,0625;2,51136;3,75;FS;20;20661,87;18,2
Vroulia;1;1_1_7;PAA;50;0,5;2,135616;3,75;FS;20;20661,87;18,2
Vroulia;2;1_2_1;PAA;65;0,428571429;2,260992;3,75;FS;20;18554,34;18,23
Vroulia;2;1_2_2;PAA;65;0,09375;2,64192;3,75;FS;20;18554,34;18,23
Vroulia;2;1_2_3;PAA;65;0,5;2,574208;3,75;FS;20;18554,34;18,23
Vroulia;2;1_2_4;PAA;65;0,09375;2,4024;3,75;FS;20;18554,34;18,23
Vroulia;2;1_2_5;PAA;65;0,333333333;3,10464;3,75;FS;20;18554,34;18,23
Vroulia;2;1_2_6;PAA;65;0,375;2,45952;3,75;FS;20;18554,34;18,23
Vroulia;2;1_2_7;PAA;65;0,5;2,359296;3,75;FS;20;18554,34;18,23
Vroulia;3;1_3_1;PAA;60;0,107142857;2,31168;3,75;FS;20;14383,07;18,25
Vroulia;3;1_3_2;PAA;60;1;0,8976;3,75;FS;20;14383,07;18,25
Vroulia;3;1_3_3;PAA;60;0,125;2,5216;3,75;FS;20;14383,07;18,25
Vroulia;3;1_3_4;PAA;60;0,571428571;3,698688;3,75;FS;20;14383,07;18,25
Vroulia;3;1_3_5;PAA;60;1;1,20064;3,75;FS;20;14383,07;18,25
Vroulia;3;1_3_6;PAA;60;0,428571429;3,612672;3,75;FS;20;14383,07;18,25
Vroulia;3;1_3_7;PAA;60;0,75;2,496;3,75;FS;20;14383,07;18,25
Vroulia_CS;1;2_1_1;CS;100;0,066666667;5,9904;1,25;CS;24;16079,3;17,74
Vroulia_CS;1;2_1_2;CS;100;0,230769231;4,92352;1,25;CS;24;16079,3;17,74
Vroulia_CS;1;2_1_3;CS;100;0,235294118;11,950848;1,25;CS;24;16079,3;17,74
Vroulia_CS;1;2_1_4;CS;100;0,285714286;4,760448;1,25;CS;24;16079,3;17,74
Vroulia_CS;1;2_1_5;CS;100;0,071428571;6,257664;1,25;CS;24;16079,3;17,74
Vroulia_CS;1;2_1_6;CS;100;0,1;8,18496;1,25;CS;24;16079,3;17,74
Vroulia_CS;1;2_1_7;CS;100;0,333333333;4,5184;1,25;CS;24;16079,3;17,74
Vroulia_CS;2;2_2_1;CS;90;0,272727273;4,0992;1,25;CS;24;17472,83;17,69
Vroulia_CS;2;2_2_2;CS;90;0,142857143;2,107392;1,25;CS;24;17472,83;17,69
Vroulia_CS;2;2_2_3;CS;90;0,333333333;5,0496;1,25;CS;24;17472,83;17,69
Vroulia_CS;2;2_2_4;CS;90;0,047857143;7,544832;1,25;CS;24;17472,83;17,69
Vroulia_CS;2;2_2_5;CS;90;0,044666667;6,193152;1,25;CS;24;17472,83;17,69
Vroulia_CS;2;2_2_6;CS;90;0,2;5,225472;1,25;CS;24;17472,83;17,69
Vroulia_CS;2;2_2_7;CS;90;0,222222222;3,331328;1,25;CS;24;17472,83;17,69
Vroulia_CS;3;2_3_1;CS;100;0,044666667;6,07488;1,25;CS;24;17553,68;17,69
Vroulia_CS;3;2_3_2;CS;100;0,5;4,11008;1,25;CS;24;17553,68;17,69
Vroulia_CS;3;2_3_3;CS;100;0,210526316;7,7952;1,25;CS;24;17553,68;17,69
Vroulia_CS;3;2_3_4;CS;100;0,076470588;7,68;1,25;CS;24;17553,68;17,69
Vroulia_CS;3;2_3_5;CS;100;0,153846154;7,29216;1,25;CS;24;17553,68;17,69
Vroulia_CS;3;2_3_6;CS;100;0,041875;8,8872;1,25;CS;24;17553,68;17,69
Vroulia_CS;3;2_3_7;CS;100;0,444444444;5,08032;1,25;CS;24;17553,68;17,69
WW_Outlet;1;3_1_1;PAA;100;1,5;3,03552;5;CS;15;20626,4;17
WW_Outlet;1;3_1_2;PAA;100;0,727272727;2,05632;5;CS;15;20626,4;17
WW_Outlet;1;3_1_3;PAA;100;1,153846154;2,613248;5;CS;15;20626,4;17
WW_Outlet;1;3_1_4;PAA;100;0,833333333;5,13024;5;CS;15;20626,4;17
WW_Outlet;1;3_1_5;PAA;100;0,928571429;9,345024;5;CS;15;20626,4;17
WW_Outlet;1;3_1_6;PAA;100;0,357142857;3,0576;5;CS;15;20626,4;17
WW_Outlet;1;3_1_7;PAA;100;0,818181818;3,761472;5;CS;15;20626,4;17
WW_Outlet;2;3_2_1;PAA;100;1,0625;6,552;5;CS;15;20626,4;17
WW_Outlet;2;3_2_2;PAA;100;0,818181818;3,64;5;CS;15;20626,4;17
WW_Outlet;2;3_2_3;PAA;100;1,5;5,32224;5;CS;15;20626,4;17
WW_Outlet;2;3_2_4;PAA;100;0,571428571;8,76096;5;CS;15;20626,4;17
WW_Outlet;2;3_2_5;PAA;100;1,5;7,151424;5;CS;15;20626,4;17
WW_Outlet;2;3_2_6;PAA;100;0,888888889;2,87144;5;CS;15;20626,4;17
WW_Outlet;2;3_2_7;PAA;100;1,5;9,624384;5;CS;15;20626,4;17
WW_Outlet;3;3_3_1;PAA;100;0,9;3,8016;5;CS;15;20626,4;17
WW_Outlet;3;3_3_2;PAA;100;1,090909091;7,44576;5;CS;15;20626,4;17
WW_Outlet;3;3_3_3;PAA;100;1,454545455;4,59648;5;CS;15;20626,4;17
WW_Outlet;3;3_3_4;PAA;100;1,6;3,50208;5;CS;15;20626,4;17
WW_Outlet;3;3_3_5;PAA;100;1;6,739264;5;CS;15;20626,4;17
WW_Outlet;3;3_3_6;PAA;100;1,545454545;2,975616;5;CS;15;20626,4;17
WW_Outlet;3;3_3_7;PAA;100;0,733333333;7,51104;5;CS;15;20626,4;17
Kimisi;1;4_1_1;CS;100;0,041875;6,5088;2,5;CS;18;20436,6;17,35
Kimisi;1;4_1_2;CS;100;0,039411765;8,41984;2,5;CS;18;20436,6;17,35
Kimisi;1;4_1_3;CS;100;0,210526316;7,76832;2,5;CS;18;20436,6;17,35
Kimisi;1;4_1_4;CS;100;0,133333333;8,472576;2,5;CS;18;20436,6;17,35
Kimisi;1;4_1_5;CS;100;0,166666667;6,617088;2,5;CS;18;20436,6;17,35
Kimisi;1;4_1_6;CS;100;0,125;9,33408;2,5;CS;18;20436,6;17,35
Kimisi;1;4_1_7;CS;100;0,235294118;8,357888;2,5;CS;18;20436,6;17,35
Kimisi;2;4_2_1;CS;100;0,315789474;7,46496;2,5;CS;18;20436,6;17,35
Kimisi;2;4_2_2;CS;100;0,285714286;6,25664;2,5;CS;18;20436,6;17,35
Kimisi;2;4_2_3;CS;100;0,136363636;7,995392;2,5;CS;18;20436,6;17,35
Kimisi;2;4_2_4;CS;100;0,466666667;6,24624;2,5;CS;18;20436,6;17,35
Kimisi;2;4_2_5;CS;100;0,039411765;7,08736;2,5;CS;18;20436,6;17,35
Kimisi;2;4_2_6;CS;100;0,086956522;12,11904;2,5;CS;18;20436,6;17,35
Kimisi;2;4_2_7;CS;100;0,055555556;7,5744;2,5;CS;18;20436,6;17,35
Kimisi;3;4_3_1;CS;100;0,037037037;10,52352;2,5;G;18;20436,6;17,35
Kimisi;3;4_3_2;CS;100;0,181818182;7,762944;2,5;G;18;20436,6;17,35
Kimisi;3;4_3_3;CS;100;0,142857143;11,966976;2,5;G;18;20436,6;17,35
Kimisi;3;4_3_4;CS;100;0,294117647;8,040864;2,5;G;18;20436,6;17,35
Kimisi;3;4_3_5;CS;100;0,083333333;7,8736;2,5;G;18;20436,6;17,35
Kimisi;3;4_3_6;CS;100;0,04;8,766144;2,5;G;18;20436,6;17,35
Kimisi;3;4_3_7;CS;100;0,115384615;12,28032;2,5;G;18;20436,6;17,35
Katsadia;1;5_1_1;PAA;60;1,2;2,779392;8,75;CS;15;19584,48;17,28
Katsadia;1;5_1_2;PAA;60;0,727272727;1,66656;8,75;CS;15;19584,48;17,28
Katsadia;1;5_1_3;PAA;60;0,285714286;2,79048;8,75;CS;15;19584,48;17,28
Katsadia;1;5_1_4;PAA;60;0,444444444;4,546752;8,75;CS;15;19584,48;17,28
Katsadia;1;5_1_5;PAA;60;1;3,65568;8,75;CS;15;19584,48;17,28
Katsadia;1;5_1_6;PAA;60;1,75;2,40192;8,75;CS;15;19584,48;17,28
Katsadia;1;5_1_7;PAA;60;0,8;3,2832;8,75;CS;15;19584,48;17,28
Katsadia;2;5_2_1;PAA;50;0,8;4,165632;8,75;CS;15;19584,48;17,28
Katsadia;2;5_2_2;PAA;50;0,428571429;3,14368;8,75;CS;15;19584,48;17,28
