Fenes;Elec;Aete;Tubu;Crisi;Lich;Chli;Walk;Plan;Elph;Serp;Syll;Plum;Sert;Camp;Hydro;Litho;Calli;Rhodo;Cera;Spyr;Clado;Dict;Spha;Chor;Ecto
0;0;0,055727554;0,084829721;0;0,421052632;0;0;0,403095975;0,06377709;0,33250774;0;0;0;0;38,01857585;0;0,046439628;2,500309598;0,42879257;0,010526316;0;0,243034056;0,026315789;0,005263158;0
0;0,2;0,21;0,04;0;0,2;0;0,385;0,54;0,05;0,44;0,05;0;0;0;26,175;0,025;0,17;3,33;0,36;0,015;0;0;0,105;0,01;0
0;0;0,005226481;0;0;0,219512195;0;0;0,293379791;0,015679443;0,318815331;0;0,559233449;0;0;30,95121951;0,151567944;0,076132404;1,241463415;2,015156794;0,020905923;0;0;0;0,020905923;0
0;0,194444444;0,009259259;0;0;0,611111111;0;0;0,037037037;0;0,157407407;0;0;0;0,037037037;5;0;0,055555556;0,685185185;0,435185185;0,027777778;0;0,046296296;0;0;0
0;0,382075472;0,077830189;0;0,007075472;0,353773585;0;0,021226415;0,134433962;0,01509434;0,337264151;0;0,056603774;0;0;24,99575472;0,007075472;0,070754717;2,188679245;0,156132075;0,014622642;0;0;0,014150943;0;0
0;0,008715596;0;0,006880734;0;0,393045;0;0,008715596;0,103211009;0;0,03440367;0;0;0;0;37,1559633;0;0;0,008256881;0,213921602;0;0;0,27263;0;0;0
0;0,037665198;0,033920705;0,00660793;0;0,316079295;0;0,020704846;0,083039648;0,099118943;0,046255507;0;0,033039648;0,013215859;0,020704846;19,3753304;0;0,00660793;0,672577093;0,033039648;0,03160793;0;0,026431718;0;0,013215859;0
0;0;0,017582418;0,025824176;0,008241758;0,46978022;0;0;0,19010989;0,659340659;0,321428571;0;0;0;0,025824176;9,462637363;0;0;0,371428571;0,157142857;0,008241758;0;0;0;0;0
0;0,01744186;0;0,052325581;0;0,261627907;0;0;0,026162791;0,305232558;0,034883721;0;0;0;0;9,643023256;0;0,130813953;0,287790698;0,191860465;0,01744186;0;0;0,01744186;0;0
0,00678733;0;0,013574661;0,095022624;0;0,488687783;0;0;0,237556561;0,597285068;0,135746606;0;0,095022624;0;0,020361991;10,33031674;0;0;0,957013575;0,122171946;0,033936652;0,00678733;0,42760181;0;0,013574661;0
